jump_from,jump_over,jump_to
10,0,4
4,0,10
1,0,5
5,0,1
6,1,2
2,1,6
11,1,0
0,1,11
1,2,12
12,2,1
7,2,3
3,2,7
2,3,13
13,3,2
8,3,4
4,3,8
0,4,9
9,4,0
3,4,14
14,4,3
10,5,19
19,5,10
0,5,29
29,5,0
25,6,1
1,6,25
11,6,15
15,6,11
16,7,12
12,7,16
26,7,2
2,7,26
3,8,27
27,8,3
17,8,13
13,8,17
14,9,18
18,9,14
4,9,28
28,9,4
20,10,0
0,10,20
15,10,5
5,10,15
6,11,16
16,11,6
21,11,1
1,11,21
7,12,17
17,12,7
22,12,2
2,12,22
3,13,23
23,13,3
8,13,18
18,13,8
19,14,9
9,14,19
4,14,24
24,14,4
25,15,10
10,15,25
6,15,20
20,15,6
11,16,26
26,16,11
21,16,7
7,16,21
12,17,27
27,17,12
22,17,8
8,17,22
9,18,23
23,18,9
13,18,28
28,18,13
29,19,14
14,19,29
5,19,24
24,19,5
30,20,10
10,20,30
15,20,40
40,20,15
41,21,16
16,21,41
31,21,11
11,21,31
12,22,32
32,22,12
42,22,17
17,22,42
18,23,43
43,23,18
13,23,33
33,23,13
34,24,14
14,24,34
19,24,44
44,24,19
36,25,15
15,25,36
6,25,30
30,25,6
31,26,7
7,26,31
37,26,16
16,26,37
8,27,32
32,27,8
17,27,38
38,27,17
9,28,33
33,28,9
18,28,39
39,28,18
35,29,19
19,29,35
5,29,34
34,29,5
45,30,25
25,30,45
50,30,20
20,30,50
21,31,51
51,31,21
46,31,26
26,31,46
22,32,52
52,32,22
47,32,27
27,32,47
28,33,48
48,33,28
23,33,53
53,33,23
54,34,24
24,34,54
29,34,49
49,34,29
65,35,29
29,35,65
40,35,64
64,35,40
60,36,41
41,36,60
66,36,25
25,36,66
61,37,42
42,37,61
67,37,26
26,37,67
27,38,68
68,38,27
62,38,43
43,38,62
44,39,63
63,39,44
28,39,69
69,39,28
70,40,20
20,40,70
55,40,35
35,40,55
36,41,56
56,41,36
71,41,21
21,41,71
37,42,57
57,42,37
72,42,22
22,42,72
23,43,73
73,43,23
38,43,58
58,43,38
24,44,74
74,44,24
39,44,59
59,44,39
80,45,30
30,45,80
50,45,55
55,45,50
56,46,51
51,46,56
81,46,31
31,46,81
57,47,52
52,47,57
82,47,32
32,47,82
33,48,83
83,48,33
58,48,53
53,48,58
54,49,59
59,49,54
34,49,84
84,49,34
85,50,30
30,50,85
60,50,45
45,50,60
46,51,61
61,51,46
86,51,31
31,51,86
32,52,87
87,52,32
47,52,62
62,52,47
33,53,88
88,53,33
48,53,63
63,53,48
64,54,49
49,54,64
34,54,89
89,54,34
80,55,40
40,55,80
45,55,70
70,55,45
71,56,46
46,56,71
81,56,41
41,56,81
42,57,82
82,57,42
72,57,47
47,57,72
48,58,73
73,58,48
43,58,83
83,58,43
84,59,44
44,59,84
49,59,74
74,59,49
85,60,36
36,60,85
66,60,50
50,60,66
51,61,67
67,61,51
86,61,37
37,61,86
52,62,68
68,62,52
87,62,38
38,62,87
39,63,88
88,63,39
53,63,69
69,63,53
65,64,54
54,64,65
35,64,89
89,64,35
90,65,35
35,65,90
75,65,64
64,65,75
91,66,36
36,66,91
76,66,60
60,66,76
61,67,77
77,67,61
92,67,37
37,67,92
38,68,93
93,68,38
62,68,78
78,68,62
79,69,63
63,69,79
39,69,94
94,69,39
95,70,40
40,70,95
55,70,75
75,70,55
76,71,56
56,71,76
96,71,41
41,71,96
42,72,97
97,72,42
77,72,57
57,72,77
58,73,78
78,73,58
43,73,98
98,73,43
59,74,79
79,74,59
44,74,99
99,74,44
95,75,65
65,75,95
70,75,90
90,75,70
91,76,71
71,76,91
96,76,66
66,76,96
67,77,97
97,77,67
92,77,72
72,77,92
68,78,98
98,78,68
93,78,73
73,78,93
74,79,94
94,79,74
69,79,99
99,79,69
100,80,55
55,80,100
101,81,56
56,81,101
102,82,57
57,82,102
103,83,58
58,83,103
104,84,59
59,84,104
60,85,100
100,85,60
61,86,101
101,86,61
62,87,102
102,87,62
63,88,103
103,88,63
64,89,104
104,89,64
