jump_from,jump_over,jump_to
55,50,44
44,50,55
50,44,49
49,44,50
25,44,69
69,44,25
69,49,39
39,49,69
44,49,64
64,49,44
35,55,50
50,55,35
50,25,19
19,25,50
20,25,44
44,25,20
49,39,59
59,39,49
34,39,64
64,39,34
39,59,54
54,59,39
60,35,30
30,35,60
45,35,55
55,35,45
30,20,19
19,20,30
10,20,25
25,20,10
35,30,20
20,30,35
10,30,55
55,30,10
14,34,59
59,34,14
24,34,39
39,34,24
25,19,5
5,19,25
20,19,14
14,19,20
65,45,35
35,45,65
40,45,60
60,45,40
19,14,24
24,14,19
9,14,34
34,14,9
59,54,43
43,54,59
30,10,5
5,10,30
15,10,20
20,10,15
34,24,18
18,24,34
14,24,29
29,24,14
10,5,4
4,5,10
0,5,19
19,5,0
65,40,26
26,40,65
51,40,45
45,40,51
24,29,43
43,29,24
18,29,54
54,29,18
26,15,6
6,15,26
21,15,10
10,15,21
5,4,3
3,4,5
0,4,9
9,4,0
4,9,18
18,9,4
3,9,14
14,9,3
40,26,21
21,26,40
51,26,15
15,26,51
29,43,68
68,43,29
48,43,54
54,43,48
56,51,40
40,51,56
6,0,4
4,0,6
1,0,5
5,0,1
9,18,29
29,18,9
13,18,24
24,18,13
26,21,11
11,21,26
31,21,15
15,21,31
15,6,1
1,6,15
11,6,0
0,6,11
4,3,8
8,3,4
2,3,9
9,3,2
43,48,63
63,48,43
38,48,68
68,48,38
36,56,51
51,56,36
0,1,7
7,1,0
6,1,2
2,1,6
8,13,33
33,13,8
23,13,18
18,13,23
56,31,11
11,31,56
36,31,21
21,31,36
1,2,8
8,2,1
7,2,3
3,2,7
3,8,17
17,8,3
2,8,13
13,8,2
33,38,63
63,38,33
58,38,48
48,38,58
21,11,16
16,11,21
31,11,6
6,11,31
13,33,58
58,33,13
23,33,38
38,33,23
1,7,12
12,7,1
16,7,2
2,7,16
56,36,46
46,36,56
61,36,31
31,36,61
17,23,33
33,23,17
28,23,13
13,23,28
11,16,22
22,16,11
27,16,7
7,16,27
8,17,28
28,17,8
12,17,23
23,17,12
38,58,53
53,58,38
36,46,66
66,46,36
61,46,41
41,46,61
7,12,32
32,12,7
22,12,17
17,12,22
17,28,53
53,28,17
42,28,23
23,28,42
41,27,22
22,27,41
52,27,16
16,27,52
16,22,32
32,22,16
27,22,12
12,22,27
58,53,42
42,53,58
46,41,52
52,41,46
66,41,27
27,41,66
47,42,53
53,42,47
67,42,28
28,42,67
22,32,37
37,32,22
57,32,12
12,32,57
57,52,41
41,52,57
32,37,62
62,37,32
57,37,47
47,37,57
37,47,67
67,47,37
62,47,42
42,47,62
37,57,52
52,57,37
